norm,total_count,n_variants,canonical_suggested,variants,has_accent_variant,has_unaccent_variant
laboratorio,3,1,laboratorio,laboratorio(3),False,True
layout,3,1,layout,layout(3),False,True
mandos,3,1,mandos,mandos(3),False,True
matematica,3,1,matemática,matemática(3),True,False
materias,3,1,materias,materias(3),False,True
microbiologia,3,1,microbiología,microbiología(3),True,False
microondas,3,1,microondas,microondas(3),False,True
microprocesados,3,1,microprocesados,microprocesados(3),False,True
mineralogia,3,1,mineralogía,mineralogía(3),True,False
muestreo,3,1,muestreo,muestreo(3),False,True
n,3,1,n,n(3),False,True
negocios,3,1,negocios,negocios(3),False,True
obra,3,1,obra,obra(3),False,True
ofimatica,3,1,ofimática,ofimática(3),True,False
operadores,3,1,operadores,operadores(3),False,True
optica,3,1,óptica,óptica(3),True,False
por,3,1,por,por(3),False,True
reaccion,3,1,reacción,reacción(3),True,False
servicios,3,1,servicios,servicios(3),False,True
sig,3,1,sig,sig(3),False,True
ti,3,1,ti,ti(3),False,True
unitarias,3,1,unitarias,unitarias(3),False,True
wlan,3,1,wlan,wlan(3),False,True
accionamientos,2,1,accionamientos,accionamientos(2),False,True
acondicionado,2,1,acondicionado,acondicionado(2),False,True
almacenamiento,2,1,almacenamiento,almacenamiento(2),False,True
aplicacion,2,1,aplicación,aplicación(2),True,False
app,2,1,app,app(2),False,True
area,2,1,área,área(2),True,False
avanzado,2,1,avanzado,avanzado(2),False,True
baja,2,1,baja,baja(2),False,True
bioingenieria,2,1,bioingeniería,bioingeniería(2),True,False
business,2,1,business,business(2),False,True
canales,2,1,canales,canales(2),False,True
ciberseguridad,2,1,ciberseguridad,ciberseguridad(2),False,True
ciencias,2,1,ciencias,ciencias(2),False,True
circuitos,2,1,circuitos,circuitos(2),False,True
climatologia,2,1,climatología,climatología(2),True,False
columnas,2,1,columnas,columnas(2),False,True
complejos,2,1,complejos,complejos(2),False,True
comportamiento,2,1,comportamiento,comportamiento(2),False,True
compuestos,2,1,compuestos,compuestos(2),False,True
computacional,2,1,computacional,computacional(2),False,True
conservacion,2,1,conservación,conservación(2),True,False
ctricos,2,1,ctricos,ctricos(2),False,True
data,2,1,data,data(2),False,True
diferenciales,2,1,diferenciales,diferenciales(2),False,True
distribuciones,2,1,distribuciones,distribuciones(2),False,True
distribuida,2,1,distribuida,distribuida(2),False,True
dividirse,2,1,dividirse,dividirse(2),False,True
economica,2,1,económica,económica(2),True,False
ecotoxicologia,2,1,ecotoxicología,ecotoxicología(2),True,False
ecuaciones,2,1,ecuaciones,ecuaciones(2),False,True
edo,2,1,edo,edo(2),False,True
edp,2,1,edp,edp(2),False,True
eficiencia,2,1,eficiencia,eficiencia(2),False,True
empresarial,2,1,empresarial,empresarial(2),False,True
enrutamiento,2,1,enrutamiento,enrutamiento(2),False,True
es,2,1,es,es(2),False,True
estacionario,2,1,estacionario,estacionario(2),False,True
exploracion,2,1,exploración,exploración(2),True,False
fueron,2,1,fueron,fueron(2),False,True
geologicos,2,1,geológicos,geológicos(2),True,False
grafica,2,1,gráfica,gráfica(2),True,False
hidricos,2,1,hídricos,hídricos(2),True,False
igual,2,1,igual,igual(2),False,True
inalambrica,2,1,inalámbrica,inalámbrica(2),True,False
integrada,2,1,integrada,integrada(2),False,True
inteligentes,2,1,inteligentes,inteligentes(2),False,True
intelligence,2,1,intelligence,intelligence(2),False,True
interfaz,2,1,interfaz,interfaz(2),False,True
internacionales,2,1,internacionales,internacionales(2),False,True
intranet,2,1,intranet,intranet(2),False,True
lineal,2,1,lineal,lineal(2),False,True
lineales,2,1,lineales,lineales(2),False,True
manufactura,2,1,manufactura,manufactura(2),False,True
mas,2,1,más,más(2),True,False
matematicas,2,1,matemáticas,matemáticas(2),True,False
media,2,1,media,media(2),False,True
mejora,2,1,mejora,mejora(2),False,True
mi,2,1,mi,mi(2),False,True
micro,2,1,micro,micro(2),False,True
microcontroladores,2,1,microcontroladores,microcontroladores(2),False,True
mining,2,1,mining,mining(2),False,True
mobile,2,1,mobile,mobile(2),False,True
monetaria,2,1,monetaria,monetaria(2),False,True
naturales,2,1,naturales,naturales(2),False,True
networking,2,1,networking,networking(2),False,True
neumaticos,2,1,neumáticos,neumáticos(2),True,False
numerico,2,1,numérico,numérico(2),True,False
operativa,2,1,operativa,operativa(2),False,True
paginas,2,1,páginas,páginas(2),True,False
parciales,2,1,parciales,parciales(2),False,True
partir,2,1,partir,partir(2),False,True
pedagogia,2,1,pedagogía,pedagogía(2),True,False
pero,2,1,pero,pero(2),False,True
pesima,2,1,pésima,pésima(2),True,False
phd,2,1,phd,phd(2),False,True
politica,2,1,política,política(2),True,False
profesional,2,1,profesional,profesional(2),False,True
programas,2,1,programas,programas(2),False,True
puentes,2,1,puentes,puentes(2),False,True
relacionadas,2,1,relacionadas,relacionadas(2),False,True
relacionado,2,1,relacionado,relacionado(2),False,True
relatividad,2,1,relatividad,relatividad(2),False,True
riesgos,2,1,riesgos,riesgos(2),False,True
ser,2,1,ser,ser(2),False,True
solido,2,1,sólido,sólido(2),True,False
solo,2,1,solo,solo(2),False,True
tecnologia,2,1,tecnología,tecnología(2),True,False
telefonia,2,1,telefonía,telefonía(2),True,False
tics,2,1,tics,tics(2),False,True
tienen,2,1,tienen,tienen(2),False,True
todo,2,1,todo,todo(2),False,True
topologia,2,1,topología,topología(2),True,False
trabajo,2,1,trabajo,trabajo(2),False,True
tranferencia,2,1,tranferencia,tranferencia(2),False,True
transmision,2,1,transmisión,transmisión(2),True,False
tuberias,2,1,tuberías,tuberías(2),True,False
un,2,1,un,un(2),False,True
urbano,2,1,urbano,urbano(2),False,True
usabilidad,2,1,usabilidad,usabilidad(2),False,True
usando,2,1,usando,usando(2),False,True
utilizando,2,1,utilizando,utilizando(2),False,True
vapor,2,1,vapor,vapor(2),False,True
variable,2,1,variable,variable(2),False,True
vectorial,2,1,vectorial,vectorial(2),False,True
vias,2,1,vías,vías(2),True,False
accesibilidad,1,1,accesibilidad,accesibilidad(1),False,True
accionamiento,1,1,accionamiento,accionamiento(1),False,True
agrocomercio,1,1,agrocomercio,agrocomercio(1),False,True
agroindustriales,1,1,agroindustriales,agroindustriales(1),False,True
agroindustrias,1,1,agroindustrias,agroindustrias(1),False,True
ai,1,1,ai,ai(1),False,True
aiqmd,1,1,aiqmd,aiqmd(1),False,True
alcantarillad,1,1,alcantarillad,alcantarillad(1),False,True
